C:\Users\luiso\CLionProjects\questao1\cmake-build-debug\questao1_principal.exe
Quest├úo 1 - Itens: A e G:
1 - 3 produtores e 1 consumidor
2 - 6 produtores e 2 consumidores
Digite sua escolha (1 ou 2):2
(P) TID: 1 | VALOR: R$ 392 | ITERACAO: 11
(P) TID: 5 | VALOR: R$ 392 | ITERACAO: 11
(C) TID: 8 | MEDIA: R$ 392.00 | ITERACAO: 15
(C) TID: 8 | MEDIA: R$ 392.00 | ITERACAO: 16
(P) TID: 4 | VALOR: R$ 392 | ITERACAO: 11
(P) TID: 2 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 3 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 6 | VALOR: R$ 903 | ITERACAO: 12
(C) TID: 7 | MEDIA: R$ 647.50 | ITERACAO: 17
(C) TID: 7 | MEDIA: R$ 903.00 | ITERACAO: 18
(P) TID: 1 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 5 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 4 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 3 | VALOR: R$ 293 | ITERACAO: 13
(C) TID: 8 | MEDIA: R$ 903.00 | ITERACAO: 17
(C) TID: 8 | MEDIA: R$ 598.00 | ITERACAO: 18
(P) TID: 2 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 6 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 4 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 5 | VALOR: R$ 293 | ITERACAO: 13
(C) TID: 7 | MEDIA: R$ 293.00 | ITERACAO: 19
(C) TID: 7 | MEDIA: R$ 293.00 | ITERACAO: 20
(P) TID: 1 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 3 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 2 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 6 | VALOR: R$ 422 | ITERACAO: 14
(C) TID: 8 | MEDIA: R$ 357.50 | ITERACAO: 19
(C) TID: 8 | MEDIA: R$ 422.00 | ITERACAO: 20
(P) TID: 4 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 5 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 1 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 3 | VALOR: R$ 719 | ITERACAO: 15
(C) TID: 7 | MEDIA: R$ 422.00 | ITERACAO: 21
(C) TID: 7 | MEDIA: R$ 570.50 | ITERACAO: 22
(P) TID: 2 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 6 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 4 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 5 | VALOR: R$ 719 | ITERACAO: 15
(C) TID: 8 | MEDIA: R$ 719.00 | ITERACAO: 21
(C) TID: 8 | MEDIA: R$ 719.00 | ITERACAO: 22
(P) TID: 1 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 3 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 2 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 4 | VALOR: R$ 448 | ITERACAO: 16
(C) TID: 7 | MEDIA: R$ 583.50 | ITERACAO: 23
(C) TID: 7 | MEDIA: R$ 448.00 | ITERACAO: 24
(P) TID: 6 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 5 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 1 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 3 | VALOR: R$ 772 | ITERACAO: 17
(C) TID: 8 | MEDIA: R$ 448.00 | ITERACAO: 23
(C) TID: 8 | MEDIA: R$ 610.00 | ITERACAO: 24
(P) TID: 4 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 2 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 1 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 6 | VALOR: R$ 772 | ITERACAO: 17
(C) TID: 7 | MEDIA: R$ 772.00 | ITERACAO: 25
(C) TID: 7 | MEDIA: R$ 772.00 | ITERACAO: 26
(P) TID: 5 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 3 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 4 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 2 | VALOR: R$ 870 | ITERACAO: 18
(C) TID: 8 | MEDIA: R$ 821.00 | ITERACAO: 25
(C) TID: 8 | MEDIA: R$ 870.00 | ITERACAO: 26
(P) TID: 6 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 1 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 5 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 3 | VALOR: R$ 668 | ITERACAO: 19
(C) TID: 7 | MEDIA: R$ 870.00 | ITERACAO: 27
(C) TID: 7 | MEDIA: R$ 769.00 | ITERACAO: 28
(P) TID: 4 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 2 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 1 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 6 | VALOR: R$ 668 | ITERACAO: 19
(C) TID: 8 | MEDIA: R$ 668.00 | ITERACAO: 27
(C) TID: 8 | MEDIA: R$ 668.00 | ITERACAO: 28
(P) TID: 5 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 3 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 4 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 2 | VALOR: R$ 36 | ITERACAO: 20
(C) TID: 7 | MEDIA: R$ 352.00 | ITERACAO: 29
(C) TID: 7 | MEDIA: R$ 36.00 | ITERACAO: 30
(P) TID: 1 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 6 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 5 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 3 | VALOR: R$ 704 | ITERACAO: 21
(C) TID: 8 | MEDIA: R$ 36.00 | ITERACAO: 29
(C) TID: 8 | MEDIA: R$ 370.00 | ITERACAO: 30
(P) TID: 4 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 2 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 1 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 6 | VALOR: R$ 704 | ITERACAO: 21
(C) TID: 7 | MEDIA: R$ 704.00 | ITERACAO: 31
(C) TID: 7 | MEDIA: R$ 704.00 | ITERACAO: 32
(P) TID: 5 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 3 finalizou
(C) TID: 8 | MEDIA: R$ 437.00 | ITERACAO: 31
(P) TID: 4 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 2 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 1 finalizou
(C) TID: 7 | MEDIA: R$ 323.00 | ITERACAO: 33
(P) TID: 6 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 5 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 4 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 2 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 6 | VALOR: R$ 674 | ITERACAO: 23
(C) TID: 8 | MEDIA: R$ 323.00 | ITERACAO: 32
(C) TID: 8 | MEDIA: R$ 674.00 | ITERACAO: 33
(P) TID: 5 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 4 | VALOR: R$ 142 | ITERACAO: 24
(P) TID: 2 | VALOR: R$ 142 | ITERACAO: 24
(P) TID: 6 | VALOR: R$ 142 | ITERACAO: 24
(C) TID: 7 | MEDIA: R$ 408.00 | ITERACAO: 34
(C) TID: 7 | MEDIA: R$ 142.00 | ITERACAO: 35
(P) TID: 5 | VALOR: R$ 142 | ITERACAO: 24
(P) TID: 4 | VALOR: R$ 254 | ITERACAO: 25
(P) TID: 2 | VALOR: R$ 254 | ITERACAO: 25
(P) TID: 6 | VALOR: R$ 254 | ITERACAO: 25
(C) TID: 8 | MEDIA: R$ 198.00 | ITERACAO: 34
(C) TID: 8 | MEDIA: R$ 254.00 | ITERACAO: 35
(P) TID: 5 | VALOR: R$ 254 | ITERACAO: 25
(P) TID: 4 | VALOR: R$ 548 | ITERACAO: 26
(P) TID: 2 | VALOR: R$ 548 | ITERACAO: 26
(P) TID: 6 | VALOR: R$ 548 | ITERACAO: 26
(C) TID: 7 | MEDIA: R$ 401.00 | ITERACAO: 36
(C) TID: 7 | MEDIA: R$ 548.00 | ITERACAO: 37
